gene,importance
TKTL2,0.39176953
DDX60L,0.01630279
LINC01612,0.029767891
GALNTL6,0.039915297
AC078881.1,0.009903987
AC103879.1,0.15696986
LINC01098,0.04777639
LINC01099,0.06943474
AC098864.1,0.0348279
ENPP6,0.046363216
ACSL1,0.06880822
AC084871.2,0.046486948
ANKRD37,0.10315845
FAM149A,0.024593977
LINC02226,0.009308674
AC091932.1,0.10515223
LINC02199,0.20359762
SEMA5A,0.018502248
LINC02100,0.022504015
AC113347.4,0.1519165
RANBP3L,0.10536665
SLC1A3,0.05577683
AC008957.2,0.14410971
FYB1,0.052516174
CARD6,0.13043486
C7,0.11091485
SELENOP,0.059044886
AC025171.3,0.06820103
ITGA1,0.02656351
ITGA2,0.018757002
ESM1,0.049734384
GAPT,0.14951801
ELOVL7,0.016115546
LINC02057,0.10637206
CD180,0.006654112
AC112206.2,0.049614668
OCLN,0.18704157
ZNF366,0.07987418
TMEM171,0.15350945
FOXD1,0.18370837
IQGAP2,0.023557821
CRHBP,0.037053254
LHFPL2,0.0932475
AC010260.1,0.059689935
AC026726.1,0.13767959
VCAN,0.07636348
AC109492.1,0.10397675
ADGRV1,0.03031071
LUCAT1,0.07491735
LINC02058,0.027103143
AC008592.5,0.2062525
ST8SIA4,0.044417936
SEMA6A-AS1,0.014605515
LINC02147,0.03220802
TNFAIP8,0.039707977
LINC01170,0.022221284
AC025465.1,0.0129880095
LINC02240,0.040164102
GRAMD2B,0.030582523
MARCH3,0.014314063
MEGF10,0.01897418
AC010424.2,0.21268214
FBN2,0.016913008
CXCL14,0.07466785
SLC25A48,0.028635507
TGFBI,0.19761641
AC106791.1,0.014328568
MZB1,0.35394058
CXXC5-AS1,0.3520069
AC008667.3,0.42722002
CD14,0.09134715
FGF1,0.0635263
PRELID2,0.02208135
POU4F3,0.20147805
STK32A,0.031470228
AC091948.1,0.026165873
SH3TC2,0.052425977
SH3TC2-DT,0.012630463
CARMN,0.11136965
CSF1R,0.03215982
PDGFRB,0.023020133
ARSI,0.06595959
CD74,0.048712745
SPARC,0.0843259
NMUR2,0.15183274
LINC01470,0.111630835
FAXDC2,0.019794391
NIPAL4,0.02595648
EBF1,0.03291432
LINC02202,0.25851914
AC008691.1,0.054697018
AC113414.1,0.04496327
AC109466.1,0.09639522
AC008415.1,0.071175314
DOCK2,0.04946835
FAM196B,0.06773983
LCP2,0.05115016
KCNIP1,0.06275461
KCNMB1,0.08908313
DUSP1,0.024608186
STC2,0.16603394
LINC01411,0.04880908
LTC4S,0.020372072
RASGEF1C,0.021701945
SERPINB1,0.054249346
SERPINB9,0.05178638
AL445309.1,0.22903968
AL138881.1,0.14447975
AL136309.2,0.044009607
AL356747.1,0.030741602
F13A1,0.0082212845
LY86,0.10097035
RREB1,0.018540114
BMP6,0.058588635
TFAP2A,0.123253286
GCNT2,0.04094557
AL139039.3,0.16148855
EDN1,0.033025373
CD83,0.15538822
AL009031.1,0.09112599
RNF144B,0.06842851
TRIM38,0.0504529
U91328.2,0.083815746
HIST1H1C,0.0788666
HFE,0.0950664
HIST1H2BC,0.08105598
HIST1H2AC,0.11081121
HIST1H1E,0.04016349
HIST1H2BD,0.15711473
AL031777.3,0.21891694
HIST1H2BF,0.15605934
HIST1H4E,0.17067032
HIST1H2BG,0.10079495
HIST1H2AE,0.09538674
HIST1H1D,0.17312406
HIST1H2BH,0.3224918
AL021807.1,0.14110763
HIST1H2BJ,0.015924685
HIST1H3H,0.21792412
MOG,0.046328407
AL645929.2,0.23285782
HLA-E,0.130949
IER3,0.1312864
HCG22,0.5450943
AL662844.3,0.29179525
HLA-B,0.10957893
TNF,0.4596928
LST1,0.098142356
AIF1,0.09081306
CLIC1,0.071601145
HSPA1A,0.064664125
GPSM3,0.163858
NOTCH4,0.05025849
HLA-DRA,0.08239462
HLA-DRB5,0.30961883
HLA-DRB1,0.22086209
HLA-DQA1,0.10582671
HLA-DQB1,0.21171601
HLA-DQA2,0.5054166
AL669918.1,0.33615616
HLA-DMB,0.1875353
HLA-DOA,0.18209635
HLA-DPA1,0.05768426
HLA-DPB1,0.11224082
IP6K3,0.018960671
DEF6,0.007758897
FKBP5,0.064484194
CDKN1A,0.09032265
AL122034.1,0.34415758
FGD2,0.14030196
AL121574.1,0.07037922
KIF6,0.025610736
DAAM2,0.040898357
UNC5CL,0.15454717
TREML1,0.25118592
TREM2,0.14943673
TREML2,0.22143741
